Tweets,Class
"""Hey Diddle Diddle - The Film"" DOWNLOAD On iTunes:   https://t.co/1IfZCJTSvN  Let us know what you think! #social #anxiety #film #mentalhealth",Anxitey
What is mental health to you ? #anxiety #MentalHealthMatters #health #BlackMaternalHealthWeek #MentalHealthMatters,Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/VYU97Uq1C4",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/43rs4Eg4V3",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/N766nlViCH",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/Vbk3qtixfi",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/XUSjJYfqnL",Anxitey
An influential physician task force says all kids eight to 18 should be regularly screened for #anxiety. https://t.co/U7EDaGC45L,Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/lsoXJv2o8t",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/LVOSRbvuys",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/0jiRlxWKQ6",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/rnlA7iWUMs",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/wYo6HQPOIC",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/rpYDXShzpo",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/yS98O3gnlM",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/gCzHbRIa52",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/PMZup7BNHu",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/Yml0nItZRL",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/smnL4R94m5",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/ssuT44lLc7",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/qg53Bv9fTL",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/7NvGT1UncO",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/QaL3HQRpGM",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/1yoOO0kDtH",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/QrfNBx1GaH",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/zCJ57TLT0t",Anxitey
"Last chance for Early Bird Prices for 'Updates on Anxiety in children and adolescents – Jack Tizard International Conference'. ENDS 22/04 

Identify routes to improve identification of #anxiety problems in preadolescent children. Book now: https://t.co/GkdZiqUvro https://t.co/8BFZr1FKH9",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/xOcTKKuycp",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/RsiMLdW7le",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/CXOTRid7n0",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/vUijbyZ21w",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/D7KlKlONYN",Anxitey
"There are many causes, symptoms, and treatments for anxiety that you may not have heard about. In this list, you can find everything from the top stats to unique tips on dealing with anxiety. #anxiety #health #treatments #tipsandtricks https://t.co/oYOLBeQ8dd",Anxitey
"Listen or watch my latest #podcast on #YouTube! Barbara Heffernan, psychotherapist, discusses #anxiety, including #social anxiety, healing our inner critic, &amp; more!👇
Ep. 44: Anxiety, Depression, &amp; Identifying Our Core Beliefs with Barbara... https://t.co/bcZIP0fXkm via @YouTube",Anxitey
Emily turns 11 on Wed. 6 yrs of her childhood has been lost due to #PANDAS causing horrific #ocd #anxiety #tourettes. You were so kind to send her a birthday message  when she turned 9. #HorribleHistories is still a favourite 😍 @realmatbaynton @JimHowick https://t.co/CfM6pnbukU,Anxitey
Depression and #anxiety manifest in people who sit excessively. Learn the risks of a sedentary lifestyle on physical and #MentalHealth in @ScienceTimesCom. https://t.co/A5rZxJz6qO https://t.co/hF5rR1wtmC,Anxitey
"These thoughts and feelings are common with unresolved trauma! 

#MentalHealthAwareness #ShiftYourMindset #PersonalGrowth #SelfGrowth #PersonalDevelopmentJourney 
#mentalhealth #selfcare #selflove #anxiety #love #mentalhealthmatters #depression #childhoodtrauma #survivor https://t.co/ehNlWA6CPT",Anxitey
"Think I’ll start @ThePeakyBlinder from the start again 🤷🏼

#5ambaby #anxiety #anxious #depression #MentalHealthAwareness #BeHappy #belfast #belfastlegend #CBD #edibiles #laugh #health #MentalHealthMatters #readmorebooks",Anxitey
"Are you the person you want to be? If not, what's stopping you from getting there?- Don't let the answer be *you*.

#CraveCounseling #MentalHealth #Counselors #Therapy #Anxiety #Therapist #austinmentalhealth #wellness #atx #austintx #atxtherapist #atxtherapy #austintexas https://t.co/CDDNqB2Y74",Anxitey
"Happy Monday!
Let's start the week off with a new journal prompt. How are you going to practice self care today? Will you transfer that practice over to tomorrow? Maybe every Monday? Today could be the start of a new self care habit! 
#selfcare #stressmanagement #anxiety https://t.co/88f4HDaedL",Anxitey
"This weeks podcast features Kelvin Durant of A New You Counseling Center to discuss mental health issues from a professionals point of view.
https://t.co/MPR0rywqYE

#mensmentalhealth #mentalhealth #depression #anxiety #counseling #therapy #journaling #mentalhealthpodcast",Anxitey
"How Your Neurons Make You A #Nervous Wreck (and how to rewire them) https://t.co/wMGYwopai7

Your #brain learns to pair certain things with #fear, whether logical or not. The good news is that you can unlearn and lessen #anxiety.

#nerves #worry #mentalhealth #depression #Monday https://t.co/SCqiN5S6Jo",Anxitey
"""If you really dread Mondays, think about what the root cause might be, and then find a way to make some changes to move yourself more towards your dreams."" https://t.co/RnffXMicHG #personaldevelopment #anxiety",Anxitey
"Registration is open for the 5th Annual Sung Symposium: Resiliency &amp; Well-being later this month from 1-5 pm ET on Friday, 4/22/22. This is a free online event. https://t.co/60NJZZDzoJ #MedEd #integrativehealth #FxMed #resilience #mindbody #burnout #stress #anxiety #COVID https://t.co/wfH5Fn4DS3",Anxitey
Let's Talk About...  How to Cope When You’re Feeling Unwanted https://t.co/IuKzVLZRrf #socialanxiety #marriageadvice #loveadvice #anxiety #relationships #mentalhealth https://t.co/ZtXWTVfz1p,Anxitey
"Emily turns 11 on Wed. She has lost 6yrs of her childhood due to #PANDAS, suffering from severe #mentalhealth issues. Every day she struggles with all consuming #ocd #anxiety #tourettes. Any birthday messages would be appreciated 😘 @noah_schnapp @GatenM123 https://t.co/WrEF4qnAYZ",Anxitey
"#Exercise is not just good for your physical #health, it's also a great stress-buster! Follow for tips during #StressAwarenessMonth! More #stress or #anxiety than you can sweat out? Talk to a professional counselor.  We're accepting new clients -  https://t.co/zjSz56JKWZ https://t.co/p7SfhGVdYg",Anxitey
"From regulating our breathing to observing our surroundings, Dr Jennifer Opoku-Lageyre offers tips on using #mindfulness to calm #anxiety

#MentalHealthMatters #SelfCare

https://t.co/KoqeFN4xQj",Anxitey
"Life of medical student is tough.
Need lots of dedication to move forward.
I need someone to love me, before I get caught with worst stress, anxiety, depression and get blackout for a months.
Who gives me love, I will love u twice more..
#Medical #MedicalStudent #stress #Anxiety",Anxitey
"https://t.co/Xc9BbXBXt9
#bad breath
#tooth pain
#clean gums
#spite bleeding  while brushing
#health 
#anxiety 
#wellness 
#diseases 
#lifestyle https://t.co/HAyXxLhKqP",Anxitey
"The “Second Pandemic” of Mental Health - what to watch for and how to find help. https://t.co/9j4qSYWO4l
  
#MentalHealth #Depression #Anxiety #pandemic #teens https://t.co/yhQKfEgBXs",Anxitey
"If thinking about going on #rexulti be sure check co pay, EVEN with coupon! You might get first 2 free but may have pay ridic copay after that!! Now I’m in depression &amp; anxiety hell trying to come off of!! Never again!! #rexulti #depression #anxiety",Anxitey
"Trapped mind
76cm x76cm
Oil and acrylic paint on canvas (mixed medium)
Dm me for prices
https://t.co/wPYxRmKrI5
This is my image of a very anxious mind trapped in a
cage.
#anxiety #fear #mindfulness #oiloncanvas
#acrylicpainting #impressionism #artforsale
#decorideas #decor https://t.co/wnvk7ISpQt",Anxitey
"“I have #anxiety. And I’m treating my anxiety. I’m on medication for my anxiety. Why am I saying this? Because it’s a completely normal thing. It’s a biological problem."" @AnushkaSharma 

#mentalhealth #mentalhealthsupport #mentalhealthwarrior #anxietyfighter  #Bollywood #IPL2022 https://t.co/Evn6RLkxAA",Anxitey
"Day of not streaming, I'm not sure when I'll be back on twitch I've got My basic setup sorted but I'm struggling with OBS and I think its affecting my confidence...
❤🧡💛💚💙💜
#smallstreamer #nervous #anxiety #returningsoon #caringwithcolours #caringcrew",Anxitey
"Every Monday... Same story.
I'm fed up of this. I just want to jump through the window and come back later to my f*cking room. #anxiety #ansiedad https://t.co/PevB11FQIo",Anxitey
"@GoTeeBaby.....ANXIETY..streaming now!!! 

#LiveStreaming #anxiety #indieartist #explorepage #newmusic #TeemfnBaby 

https://t.co/AkGcOH8xGu
🍰🍰🍰🍰🍰🍰🍰 https://t.co/259Mi9GNdQ",Anxitey
"@madbpd I f#%kn’ HATE this!! 😢 I #Live most days in such a way, maybe weeks 🤷‍♀️ giving myself #Anxiety nobody cares, burden to others, etc. etc. #Women start normalizing #MentalHealthMatters We (when in doubt I play @BustaRhymes #breakyaneck) ironically I’m now just realizin as I typed😳",Anxitey
"NEW GROUP!  Managing My Anxiety

Zoom workshop for young people (11-16 years) in Leicester, Leicestershire or Rutland, who are struggling with anxiety and feeling overwhelmed. 

Next group starts on 5 May 6-7pm. Sign up via our website https://t.co/zZHllswb87

#anxiety https://t.co/HHs2JFKJoP",Anxitey
#purechlorine #purechlorinelive #hijacked #crown #mindset #anxiety #theloftwien #concertphotography #grafandreascom #vienna #austria @purechlorine @ The Loft https://t.co/tUjsonEiwL,Anxitey
"I will be joining @marinakurianand @RachelRDN tomorrow (4/19) at 8 am EST on @siriusxm #NYUDocs ch 110 
discussing #anxiety and #coping with stressful situations. I may even teach all of the listeners #diaphragmaticbreathing- You don’t want to miss this! @nyulangone #copingtools https://t.co/Lsymg5h3VJ",Anxitey
"If You're Experiencing #Financial #Anxiety, Here's What You Can Do About It https://t.co/OhaCHd8wsQ #financialstress #socialwork #socialworkers #financialsocialwork #financialwellnesss #financialhealth #HOPE #stress #NASW #SocialWorkTwitter #debt https://t.co/KRF5bRn9fS",Anxitey
"I mean, I'm gonna do it anyways, but man this is going to be a long stressful road!! #anxiety",Anxitey
"I've finally lost so much weight, I don't have to suck my gut in when I'm awake. Imma still do it tho 🤣 #anxiety",Anxitey
"Getting motivated to have everything I want, seeing all the work outs going to take to get there, second guessing every decision,  deciding its too overwhelming to start #anxiety",Anxitey
"AD - affiliate // I can’t recommend BeYou products enough! 💙✨ They work so well and help my chronic pain, anxiety and sleep 👌🏻 Get 10% off your first BeYou order with the code ATBK10 here 👉🏻  https://t.co/Wlm6uhBeIc #chronicpain #endometriosis #endo #anxiety #pcos https://t.co/8KfAJY4hya",Anxitey
Ignoring Young People's #ClimateChange Fears Is A Recipe For #Anxiety #climatecrisis #climate #climateemergency https://t.co/zwhr4Z56xN https://t.co/VHvEagDP8d,Anxitey
Ignoring Young People's #ClimateChange Fears Is A Recipe For #Anxiety #climatecrisis #climate #climateemergency https://t.co/zwhr4Z56xN,Anxitey
"Start Improving Your Sleep Today: https://t.co/R990yLusmJ

#insomnia #sleepcourse #rolandbal #cptsd #ptsd #trauma #anxiety #depression https://t.co/8VhKDuT7cP",Anxitey
Worry weighs a person down; an encouraging word cheers a person up. - Proverbs 12:25 NLT #bible #anxiety #stress https://t.co/j9CxhqvDd8 https://t.co/2oukKhApsA,Anxitey
"'Enjoy your journey to experiencing abundance."" - Dr. Laurie Weiss

#Money #anxiety? Learn to focus on what is really important for you to experience #abundance now. Quick, easy to use #ebook.  https://t.co/OALU828ZRE via @BublishMe https://t.co/HgxQ7gRULq",Anxitey
"#Gut #GutBrainAxis #VagusNerve #Nutrition #MentalHealth #MentalHealthAwareness #MentalHealthMatters #anxiety #IBS
#SocialPrescribing 

Think there isn't a link between the gut and #meditation? 
Think again. https://t.co/uKZAdlvuty https://t.co/rLVWzArDxL",Anxitey
"Do you think you might be depressed ? We offer online depression tests. Get in touch for more details or visit our website.

#depressed #anxiety #mentalhealth https://t.co/bi5QNTU8xa",Anxitey
"Medicinal herbs for #anxiety: systematic review and network meta-analysis

➡️ This study aimed to evaluate &amp; compare efficacy &amp; acceptability of all possible medicinal herbs for treatment of anxiety.

👇
https://t.co/MsVe6clEHy
@Psychobiotic @_atanas_ @HealthyFellow @Grimhood https://t.co/IdePqmZMmY",Anxitey
TEST ANXIETY WORKSHOP #lmsw #msw #lmhc #lcsw #exam #examanxiety #anxiety #mcat https://t.co/BaZq0fGKWl,Anxitey
"4:19pm - “I’m feeling so rubbish, getting a bit low.”

4:20pm - “I’m feeling great! I’m gonna do my makeup now!”

Welcome to the life of a borderline. #BPD #MentalHealthMatters #MentalHealth #MentalHealthAwareness #MentalHealthAdvocate #Depression #Anxiety #Mood #KindnessMatters",Anxitey
My own ocd/ anxiety is rearing its ugly head also.  Have had bad #anxiety since I was a kid.  College was awful. Back then it was all irrational crap. #freddiekruger. #hiv/aids /Nostradamus. Would live rent free in my brain and play over and over again.,Anxitey
Send help lol I’m at a breaking point in this class 🤪 #anxiety #shtwt #edtwt,Anxitey
WEDNESDAY: #Resilience building group for #Delaware #lawyers &amp; #judges 12:00-1:00 by Zoom. Therapist Alice O’Brien facilitates. Contact us at (302) 777-0124 or cwaldhauser@de-lap.org. Hope you can make it! #stress #anxiety #wellness https://t.co/toauUnl7kd,Anxitey
Sitting in band class and then we were talking about where we want to be and I said you know where I wanna be and just started laughing. Aghhh haha #shtwt #depressed #anxiety #edtwt,Anxitey
How do people cope up from a failed relationship? #depression #breakup #anxiety,Anxitey
"I am vibrant.

#Affirmation #Affirmations #Today #Anxiety #Positivevibesonly💯 #Sunneterra #Mentalillness #Blessed #Peaceandlove #Success #Solicitors #Joytrain #Faith #Feminism #Motivationalquotes #Saturdayvibes #Night #Wordstoliveby #Motivational #Selfcare #Guidedmeditation https://t.co/ftDiesn117",Anxitey
"🌿Cannabis helps break through the frozen feeling of anxiety, too. 
Choose a sativa, ask for a daytime strain or 'work weed'. Get a specific strain in a vape if you do not smoke. Takes longer to feel vapors. 
Smoke the flower if you need immediate rescue from #Anxiety. https://t.co/xL74g326BQ",Anxitey
Just been watching cave crawling videos on Tik Tok. Defo not for me that. #CaveCrawling #TikTok #Anxiety,Anxitey
"Each moment of #worry, #anxiety or #stress represents lack of faith in miracles, for they never cease.",Anxitey
"You can read more about the need for alternative forms of treatment here: https://t.co/o3cNp5DbEx.

#anxiety #mentalhealthawareness #mentalhealth #depressed #mentalhealthmatters https://t.co/JwL15hE1nV",Anxitey
"Turn2Me will be joining the @VhiWMM this year! Please join us running the Mini Marathon in aid of Turn2Me. 

#VHIminimarathon #GivingBack #helpingothers #charityrun #run #joggers #walk #mentalhealth #depression #anxiety #turn2me https://t.co/QO7LmHbrOP",Anxitey
"Don't say you can't, you can. Focus on what you want. Focus on solutions, not problems. You are unstoppable #podcast #FromSurvivingToThrivingPodcast #parenting #consciousparenting #mentalhealth #selfhelp #depression #anxiety https://t.co/2WSU9abAKM",Anxitey
"#ThinkWellbeing 💭

Our Think Wellbeing service offers free #NHS #therapy for people living in #Halton #Knowsley or #StHelens who are struggling with #anxiety or #depression 💙

Self refer today by visiting our website 💻

https://t.co/ToxXfugBli

#StressAwareness #MentalHealth https://t.co/xxtg0xM76n",Anxitey
"HACK YOUR SLEEP!
Do You Want To Have The Peaceful Sleep Nights? It Is The Perfect Time To Hack Your Sleep In The Best Possible Way!
To Read More; Click Here!
https://t.co/FxNQtdNnvW
#Sleep #Hacks #Sleeplessness #Peaceful #Relaxation #Anxiety #Restlessness #Sleeping #Insomnia https://t.co/U8Cp8TGAV9",Anxitey
"Demand for #mentalhealth services has increased, but experts say many people still aren’t receiving the care they need. Read how we're using evidence-based screening tools and digital solutions to help with issues such as #depression or #anxiety: https://t.co/8jV0C6k4Gz https://t.co/EqsY9gfqqB",Anxitey
"More on the psychology of pandemics - interview with Dr Taylor https://t.co/WHHJ8JIXz7
#covid19 #pandemic #anxiety
#conspiracy #craziness",Anxitey
"We hear teens say, “When I’m high I don’t feel anxious.” &amp; of course the THC in cannabis reduces stress in the body, but after the body metabolizes it, those high stress levels often come back worse than before. It can become a rollercoaster ride of #anxiety that’s hard to stop. https://t.co/kvwKlKEiMR",Anxitey
"#Secrets of a #medicalintuitive, #howto relieve #anxiety during the #coronavirus #pandemic with #breathing exercises, what Catherine Carrigan @CSCarrigan and Winn Henderson @hugotheartist want you to know : https://t.co/4pKbfZ77Zj #naturalhealing #medicalintuitive",Anxitey
"#Secrets of a #medicalintuitive, #howto relieve #anxiety during the #coronavirus #pandemic with #breathing exercises, what Catherine Carrigan @CSCarrigan and Winn Henderson @hugotheartist want you to know : https://t.co/tPHLKsHKxd #naturalhealing #medicalintuitive",Anxitey
"#Secrets of a #medicalintuitive, #howto relieve #anxiety during the #coronavirus #pandemic with #breathing exercises, what Catherine Carrigan @CSCarrigan and Winn Henderson @hugotheartist want you to know : https://t.co/ZJazqsbbaT #naturalhealing #medicalintuitive",Anxitey
Apparently the building manager has finally started repairs on the broken elevators. I hope to the fucking Norns they put a sign up this time. Last time I had no idea &amp; got stuck in between 2 floors &amp; had a panic attack #Disability #anxiety #ICannot #LokiHelp,Anxitey
"#JournoRequest: For a Uni project, looking to interview #contentcreators based in the UK who might have felt #Depression or #anxiety because of how much time they have to spend on social media. 

#youtubers #Influencers #Instagram #Contentcreation #socialmedia #Nottingham",Anxitey
